text,sentiment,polarity,subjectivity,Preprocess
Ese incómodo momento cuando te das cuenta que valiste vergatl # GoT # GoTS8 # Bran # Stark # BranStark # Theon # Greyjoy # TheonGreyjoy # FelizJueves # JuegoDeTronos # BattleOfWinterfell # GameofThrones # Muerte # HechoEn # méxico # cdmx # mx # códice # azteca # SituacionesIncomodasEnLaVidapic.twitter.com/tEnpMEwBWc,Neg,-0.2,0.6,ese incómodo momento cuando te da cuenta que valiste vergatl got gots8 bran stark branstark theon greyjoy theongreyjoy felizjueves juegodetronos battleofwinterfell gameofthrones muerte hechoen méxico cdmx mx códice azteca situacionesincomodasenlavidapic twitter com tenpmewbwc
"Quote from @ OzzyManReviews Wikipedia puts up a Stronger fight to stay alive than the Three-Eyed Raven!"" HA!! Feckin Hillarious!!!! # GameofThrones # threeeyedraven # BranStark # Thrones # GOT # GoTS8 # GOTS8E3pic.twitter.com/2aTZ8rkQ8O""",Pos,0.476837158203125,0.4,quote from ozzymanreviews wikipedia put up stronger fight to stay alive than the three eyed raven ha feckin hillarious gameofthrones threeeyedraven branstark throne got gots8 gots8e3pic twitter com 2atz8rkq8o
# Repost gameofthrones.brasil ・・・ Pracarys! # gameofthrones # gameofthronesbrasil # GoT2019 # gotseason8 # gotbrasil # got # gots8 # hbo # domingot # domingo # abril #2019 # arya # aryastark # branstark # bran… https://www.instagram.com/p/Bw91OPvjbEo/?igshid=1vvopozc97x7i …,Neu,0.0,0.0,repost gameofthrones brasil pracarys gameofthrones gameofthronesbrasil got2019 gotseason8 gotbrasil got gots8 hbo domingot domingo abril 2019 arya aryastark branstark bran http www instagram com bw91opvjbeo igshid 1vvopozc97x7i
If u saw this just know i wrote it just to see the faces lol ! # GameofThrones # GoTS8 # GOT # JonSnow # SansaStark # AryaStark # BranStark # Daenerys # ForTheThrone,Pos,1.0,0.7,if saw this just know wrote it just to see the face lol gameofthrones gots8 got jonsnow sansastark aryastark branstark daenerys forthethrone
# GOTS8 # GameofThrones # GOT # xmen # XMenDarkPhoenix # professorx # branstark # cyclops # jonsnow # jeangrey # wolverine # AryaStark # quicksilverpic.twitter.com/4Y8ykboYLx,Neu,0.0,0.0,gots8 gameofthrones got xmen xmendarkphoenix professorx branstark cyclops jonsnow jeangrey wolverine aryastark quicksilverpic twitter com 4y8ykboylx
Imagens promocionais do episódio 8x04 de Game Of Thrones. Hora de queimar os mortos. Team Targaryen,Neg,-0.4,0.4,imagens promocionais do episódio 8x04 de game of throne hora de queimar o mortos team targaryen
Credit:Ireland Simpsons Fans group # got # gameofthrones # GoTS8 # GotS8E3 # BranStark # simpsonmemespic.twitter.com/CEbML0VsAR,Neu,0.0,0.0,credit ireland simpson fan group got gameofthrones gots8 gots8e3 branstark simpsonmemespic twitter com cebml0vsar
La derrota del rey de la noche es una recreación de su conversión. Es la misma escena: Una niña que le clava una daga en el pecho junto a un arciano. Qué poéticos ;) # gameofthrones # branstark # aryastark # got # GoTS8 # estoaunnoseacaba,Pos,0.25,1.0,la derrota del rey de la noche e una recreación de su conversión e la misma escena una niña que le clava una daga en el pecho junto un arciano qué poéticos gameofthrones branstark aryastark got gots8 estoaunnoseacaba
Is anyone else upset that we never saw the # NightKing actually fight?! The wights,Neu,0.0,0.1,is anyone else upset that we never saw the nightking actually fight the wight
# GameofThrones # GOT # GOTS8 # SansaStark # BranStark # AryaStark # TheonGreyjoy # AegonTargaryen # DaenerysTargaryen # JaimeLannister # CerseiLannister # TyrionLannister # SandorClegane # SamwellTarly # Brienne # JorahMormont # Melisandre # Varys # Missandei # GreyWorm # DavosSeaworth # EuronGreyjoy,Neu,0.0,0.0,gameofthrones got gots8 sansastark branstark aryastark theongreyjoy aegontargaryen daenerystargaryen jaimelannister cerseilannister tyrionlannister sandorclegane samwelltarly brienne jorahmormont melisandre varys missandei greyworm davosseaworth eurongreyjoy
what's gonna happen to the Azor Ahai prophecy now?! i cant predict it but at least 19:31 in this vid came true! http://bit.ly/2G3nKhP # gameofthrones # gots8 # got # forthethrone # Daenerys # jonsnow # sansa # theon # tyrion # thenightking # Cersei # aryastark # branstark # crypts # arya,Pos,0.06875,0.525,what gonna happen to the azor ahai prophecy now cant predict it but at least 19 31 in this vid came true http bit ly 2g3nkhp gameofthrones gots8 got forthethrone daenerys jonsnow sansa theon tyrion thenightking cersei aryastark branstark crypt arya
Ponle un título a esta foto... (sean serios :v) Name this pic... # BranStark # TheNightKing # GameOfThrones # got # GoTS8 pic.twitter.com/7mjNMbseL3,Neu,0.0,0.0,ponle un título esta foto sean serios name this pic branstark thenightking gameofthrones got gots8 pic twitter com 7mjnmbsel3
# GameofThrones # GoTS8 # GOT # DemThrones # ThronesYall # AryaStark # NotToday # NightKing # BranStark # BattleOfWinterfellhttps://twitter.com/peoplescrtic/status/1122691423239688192 …,Neu,0.0,0.0,gameofthrones gots8 got demthrones thronesyall aryastark nottoday nightking branstark battleofwinterfellhttps twitter com peoplescrtic status 1122691423239688192
Weekend of the # Starks # TonyStark # AryaStark # BranStark # Ghost # GameofThrones # GoTS8 # GoT # AvengersEndgame # Endgame # Avengers The most I've ever done in a single weekend in my life!pic.twitter.com/dy5TNfIj0m,Pos,0.2142857142857143,0.35714285714285715,weekend of the starks tonystark aryastark branstark ghost gameofthrones gots8 got avengersendgame endgame avenger the most ve ever done in single weekend in my life pic twitter com dy5tnfij0m
Lmao # GameofThrones # GOT # GoTS8 # GOTS8E3 # BattleOfWinterfell # NotToday # BranStark # AryaStark # GOT pic.twitter.com/gOA77p817D,Pos,0.6,1.0,lmao gameofthrones got gots8 gots8e3 battleofwinterfell nottoday branstark aryastark got pic twitter com goa77p817d
Me watching my girl Arya doing what she does best last night. # GoT # GoTS8 # AryaStark # GameofThrones # NightKing # TheLongNight # BranStark # TheonGreyjoypic.twitter.com/3hHewvf1oq,Pos,0.5,0.18333333333333332,me watching my girl arya doing what she doe best last night got gots8 aryastark gameofthrones nightking thelongnight branstark theongreyjoypic twitter com 3hhewvf1oq
# GameofThrones # GoTS8 # BattleOfWinterfell # GOT # AryaStark # aegontargaryen # Daenerys # BranStark # SansaStark # Greyworm # JamieLannister # DemThroneshttps://twitter.com/desireepulmones/status/1122803285654671362 …,Neu,0.0,0.0,gameofthrones gots8 battleofwinterfell got aryastark aegontargaryen daenerys branstark sansastark greyworm jamielannister demthroneshttps twitter com desireepulmones status 1122803285654671362
# GameofThrones # GoTS8 # BattleOfWinterfell # GOT # AryaStark # aegontargaryen # Daenerys # BranStark # SansaStark # Greyworm # JamieLannister # demthroneshttps://twitter.com/She_DreadzMe/status/1122716313569329153 …,Neu,0.0,0.0,gameofthrones gots8 battleofwinterfell got aryastark aegontargaryen daenerys branstark sansastark greyworm jamielannister demthroneshttps twitter com she_dreadzme status 1122716313569329153
┃┃╱╲ Na ┃╱╱╲╲ minha ╱╱╭╮╲╲ casa ▔▏┗┛▕▔ não entra ╱▔▔▔▔▔▔▔▔▔▔╲ hater de Game of Thrones ╱╱┏┳┓╭╮┏┳┓ ╲╲ ▔▏┗┻┛┃┃┗┻┛▕▔ # GameofThrones # got # gots8 # Arya # Melisandre # BranStark # Theon # JonSnow # DaenerysTargaryen,Neg,-0.4,0.4,na minha casa não entra hater de game of throne gameofthrones got gots8 arya melisandre branstark theon jonsnow daenerystargaryen
8 seasons later still here like # BrandonStark # BranStark # MrUseless # GameofThrones # GOT # GOTS8 # FortheThrone https://www.instagram.com/p/Bw2AcFqBMMy/?utm_source=ig_twitter_share&igshid=ezk7qfmn6r7o …,Neu,0.0,0.0,8 season later still here like brandonstark branstark mruseless gameofthrones got gots8 forthethrone http www instagram com bw2acfqbmmy utm_source ig_twitter_share igshid ezk7qfmn6r7o
Best comment ever # BranStark # got # gameofthrones # gots8 pic.twitter.com/J2ztl64EuM,Pos,1.0,0.3,best comment ever branstark got gameofthrones gots8 pic twitter com j2ztl64eum
The # NightKing would have survived if he didn't go for # BranStark himself! Sorry but the episode was just pure stupid @ GameOfThrones # GameofThrones # BattleOfWinterfell # GoTs8 # GOTS8E3 # got,Neg,-0.3619047619047619,0.8333333333333334,the nightking would have survived if he didn go for branstark himself sorry but the episode wa just pure stupid gameofthrones gameofthrones battleofwinterfell gots8 gots8e3 got
Wasn't # Bran a little bit disappointing in this episode? # BranStark # GameofThrones # BattleOfWinterfell # GoTs8 # got,Neg,-0.39375,0.6,wasn bran little bit disappointing in this episode branstark gameofthrones battleofwinterfell gots8 got
When # Melisandre spoiled the 8x03 & 8x06 episodes of # GameofThrones long time a go... (3x06 - The Climb) # GOT # GoTS8 # ForTheThrone # JonSnow # AegonTargaryen # Daenerys # SansaStark # AryaStark # BranStark # CerseiLannister # NightKing # WhiteWalkerspic.twitter.com/EbxtBRLjCD,Neg,-0.05,0.4,when melisandre spoiled the 8x03 8x06 episode of gameofthrones long time go 3x06 the climb got gots8 forthethrone jonsnow aegontargaryen daenerys sansastark aryastark branstark cerseilannister nightking whitewalkerspic twitter com ebxtbrljcd
The most exciting moment that I never seen # AryaStark # Theon # TheonGreyjoy # BranStark against # NightKing # RedWitch # GamefThrones # GOT8 # Got8x03 # GoTS8 # BattleOfWinterfell # GOT # GOTS8E3 # GameofThrones # GameofThronesSeason8 # Rhaego # Drogon # Viserion # Rhaegal # GameofThrones # aryapic.twitter.com/rBXXBD5Aui,Pos,0.4,0.65,the most exciting moment that never seen aryastark theon theongreyjoy branstark against nightking redwitch gamefthrones got8 got8x03 gots8 battleofwinterfell got gots8e3 gameofthrones gameofthronesseason8 rhaego drogon viserion rhaegal gameofthrones aryapic twitter com rbxxbd5aui
# GameofThronesSeason8: The world witnessed the # BattleOfWinterfell today and the internet is drowning in feels @ GameOfThrones @ HBO # GOT # GoTS8 # GameofThrones # NotToday # GameofThronesepisode3 # Winterfellbattle # BranStark # AryaStark # NightKing # dragon https://www.peepingmoon.com/news/news/28917/Game-of-Thrones-Season-The-fans-are-losing-their-calm-after-the-battle-of-Winterfell-and-we-are-sailing-in-the-same-boat.html …,Neu,0.0,0.0,gameofthronesseason8 the world witnessed the battleofwinterfell today and the internet is drowning in feel gameofthrones hbo got gots8 gameofthrones nottoday gameofthronesepisode3 winterfellbattle branstark aryastark nightking dragon http www peepingmoon com news news 28917 game of throne season the fan are losing their calm after the battle of winterfell and we are sailing in the same boat html
Checking my job’s Bereavement Leave policies after this @ GameOfThrones episode # GameofThronesseason8episode3 # got # GoT # GOTS8E3 # thankyougot # GoT # GoTS8 # omg # gotreaction # gameofthrones # BattleForWinterfell # BranStark # starks # stark # winterfell # epic,Neg,-0.05,0.5,checking my job bereavement leave policy after this gameofthrones episode gameofthronesseason8episode3 got got gots8e3 thankyougot got gots8 omg gotreaction gameofthrones battleforwinterfell branstark starks stark winterfell epic
Night King be like # GameofThrones # GoT # BattleofWinterfel # AryaStark # GoTS8 # GameOfThrones8 # GOT # Arya # DemThrones # BranStark # BattleOfWinterfell # GameOfThrones pic.twitter.com/UPDqn8upIC,Neu,0.0,0.0,night king be like gameofthrones got battleofwinterfel aryastark gots8 gameofthrones8 got arya demthrones branstark battleofwinterfell gameofthrones pic twitter com updqn8upic
# AryaStark # BranStark # JonSnow # Daenerys # Brienne # Sansa # Jorah # Clegane # Tyrion # JaimeLannister # Melisandre # Whitewalkers # GOT # GOTS8 # GameOfThrones # Cersei # SamwellTarlypic.twitter.com/6UvP9pL0Pk,Neu,0.0,0.0,aryastark branstark jonsnow daenerys brienne sansa jorah clegane tyrion jaimelannister melisandre whitewalkers got gots8 gameofthrones cersei samwelltarlypic twitter com 6uvp9pl0pk
Aquí el encuentro entre # BranStark y the # NightKing en # BattleOfWinterfell antes de que llegara # AryaStark. # GOT # GameofThrones # DominGOT # GOTS8 # GOTS8E3 # Melisandrepic.twitter.com/vjSmERFEhg,Neu,0.0,0.0,aquí el encuentro entre branstark the nightking en battleofwinterfell ante de que llegara aryastark got gameofthrones domingot gots8 gots8e3 melisandrepic twitter com vjsmerfehg
House # Mormont you served well # ladyLyannaMormont # LyannaMormont # JeorMormont they'll be OK,Pos,0.5,0.5,house mormont you served well ladylyannamormont lyannamormont jeormormont they ll be ok
Pretty much! # GameofThrones # GoTS8 # BattleOfWinterfell # GOT # AryaStark # aegontargaryen # Daenerys # BranStark # SansaStark # Greyworm # JamieLannister # DemThroneshttps://twitter.com/mikehawk467/status/1122702091372441600 …,Pos,0.25,0.6,pretty much gameofthrones gots8 battleofwinterfell got aryastark aegontargaryen daenerys branstark sansastark greyworm jamielannister demthroneshttps twitter com mikehawk467 status 1122702091372441600
# AryaStark # BranStark # JonSnow # Daenerys # Brienne # Sansa # Jorah # Clegane # Tyrion # JaimeLannister # Melisandre # Whitewalkers # GOT # GOTS8 # GameOfThrones # Cersei # SamwellTarly AGREGUEN NOMAS CON CONFIANZA! RTpic.twitter.com/I4bc3nC7W3,Neu,0.0,0.0,aryastark branstark jonsnow daenerys brienne sansa jorah clegane tyrion jaimelannister melisandre whitewalkers got gots8 gameofthrones cersei samwelltarly agreguen noma con confianza rtpic twitter com i4bc3nc7w3
Yes it was dark as hell # GameofThrones # GoTS8 # BattleOfWinterfell # GOT # AryaStark # aegontargaryen # Daenerys # BranStark # SansaStark # Greyworm # JamieLannister # DemThroneshttps://twitter.com/Variety/status/1122702088406958083 …,Neg,-0.15,0.4,yes it wa dark a hell gameofthrones gots8 battleofwinterfell got aryastark aegontargaryen daenerys branstark sansastark greyworm jamielannister demthroneshttps twitter com variety status 1122702088406958083
# GameofThrones # GoTS8 # BattleOfWinterfell Also broke me. I am not sure what I just watched but bravo. # GOT I knew it be # AryaStark to save # ThreeEyedRaven #3000 # aegontargaryen # Daenerys # BranStark # SansaStark...https://twitter.com/iReko15/status/1122698843445977093?s=04 …,Neg,-0.25,0.8888888888888888,gameofthrones gots8 battleofwinterfell also broke me am not sure what just watched but bravo got knew it be aryastark to save threeeyedraven 3000 aegontargaryen daenerys branstark sansastark http twitter com ireko15 status 1122698843445977093 04
# BattleOfWinterfell couldn't be any more epic. Thank you # GameOfThrones for making this one a nail-biting affair. # GOTS8E3 # GOT # GotS8 # AryaStark @ Maisie_Williams @ hotstartweets # BranStark # nightkingpic.twitter.com/PVvborGyGN,Pos,0.3,0.45,battleofwinterfell couldn be any more epic thank you gameofthrones for making this one nail biting affair gots8e3 got gots8 aryastark maisie_williams hotstartweets branstark nightkingpic twitter com pvvborgygn
Que ansia que # BranStark se la pasó en modo avión todo el episodio. # GameOfThrones # got # GoTS8 # TheBattleOfWinterfellpic.twitter.com/RNBW8AizGI,Neu,0.0,0.0,que ansia que branstark se la pasó en modo avión todo el episodio gameofthrones got gots8 thebattleofwinterfellpic twitter com rnbw8aizgi
# GameofThrones # GoTS8 # BattleOfWinterfell Also broke me. I am not sure what I just watched but bravo. # GOT I knew it be # AryaStark to say # ThreeEyedRaven # aegontargaryen # Daenerys # BranStark # SansaStark # Greyworm # JamieLannisterhttps://twitter.com/iReko15/status/1122698843445977093 …,Neg,-0.25,0.8888888888888888,gameofthrones gots8 battleofwinterfell also broke me am not sure what just watched but bravo got knew it be aryastark to say threeeyedraven aegontargaryen daenerys branstark sansastark greyworm jamielannisterhttps twitter com ireko15 status 1122698843445977093
I had to turn the setting on my TV to 100% brightness # GameofThrones # GoTS8 # BattleOfWinterfell # GOT # AryaStark # aegontargaryen # Daenerys # BranStark # SansaStark # Greyworm # JamieLannister # DemThroneshttps://twitter.com/evanhaltom/status/1122698795408662529 …,Neu,0.0,0.0,i had to turn the setting on my tv to 100 brightness gameofthrones gots8 battleofwinterfell got aryastark aegontargaryen daenerys branstark sansastark greyworm jamielannister demthroneshttps twitter com evanhaltom status 1122698795408662529
# GameofThrones # GoTS8 # BattleOfWinterfell Also broke me. I am not sure what I just watched but bravo. # GOT I knew it be # AryaStark to say # ThreeEyedRaven # aegontargaryen # Daenerys # BranStark # SansaStark # Greyworm # JamieLannister https://www.facebook.com/1519116878/posts/10218689715663574/ …,Neg,-0.25,0.8888888888888888,gameofthrones gots8 battleofwinterfell also broke me am not sure what just watched but bravo got knew it be aryastark to say threeeyedraven aegontargaryen daenerys branstark sansastark greyworm jamielannister http www facebook com 1519116878 post 10218689715663574
OMG # AryaStark yes I knew it! # GameofThrones # GoTS8 # BattleOfWinterfell # GOT # aegontargaryen # Daenerys # BranStark # SansaStark # Greyworm # JamieLannister,Neu,0.0,0.0,omg aryastark yes knew it gameofthrones gots8 battleofwinterfell got aegontargaryen daenerys branstark sansastark greyworm jamielannister
Te salvaste # BranStark # ReapersGaming # GameOfThrones # GOT # GoTS8 # HBO,Neu,0.0,0.0,te salvaste branstark reapersgaming gameofthrones got gots8 hbo
ME RN AFTER THAT EPISODE. # Jon going after the # NightKing⁠ ⁠ got me like # BattleForWinterfell # BattleOfWinterfell # got⁠ ⁠ # GameOfThrones⁠ ⁠ # GoTS8⁠ ⁠ # SundayThoughts # BranStark⁠ ⁠ # JaimeLannister⁠ ⁠ # aegontargaryen⁠ ⁠ # DaenerysTargaryen⁠ ⁠ # gots8e3 # JonSnow⁠ ⁠pic.twitter.com/OSW9NkrqrV,Neu,0.0,0.0,me rn after that episode jon going after the nightking got me like battleforwinterfell battleofwinterfell got gameofthrones gots8 sundaythoughts branstark jaimelannister aegontargaryen daenerystargaryen gots8e3 jonsnow pic twitter com osw9nkrqrv
This episode has me like: # BattleForWinterfell # BattleOfWinterfell # got⁠ ⁠ # GameOfThrones⁠ ⁠ # GoTS8⁠ ⁠ # SundayThoughts # BranStark⁠ ⁠ # JaimeLannister⁠ ⁠ # aegontargaryen⁠ ⁠ # DaenerysTargaryen⁠ ⁠ # gots8e3 # JonSnow⁠ ⁠ # SansaStark⁠ ⁠ # TyrionLannister⁠ ⁠ # aryapic.twitter.com/sFgZb0NYHn,Neu,0.0,0.0,this episode ha me like battleforwinterfell battleofwinterfell got gameofthrones gots8 sundaythoughts branstark jaimelannister aegontargaryen daenerystargaryen gots8e3 jonsnow sansastark tyrionlannister aryapic twitter com sfgzb0nyhn
Omfg # JORAH!!! # Jon going after the # NightKing⁠ ⁠ got me like # BattleForWinterfell # BattleOfWinterfell # got⁠ ⁠ # GameOfThrones⁠ ⁠ # GoTS8⁠ ⁠ # SundayThoughts # BranStark⁠ ⁠ # JaimeLannister⁠ ⁠ # aegontargaryen⁠ ⁠ # DaenerysTargaryen⁠ ⁠ # gots8e3 # JonSnow⁠ ⁠pic.twitter.com/pkBHMe6M73,Neu,0.0,0.0,omfg jorah jon going after the nightking got me like battleforwinterfell battleofwinterfell got gameofthrones gots8 sundaythoughts branstark jaimelannister aegontargaryen daenerystargaryen gots8e3 jonsnow pic twitter com pkbhme6m73
No!!! # theon # BattleForWinterfell # BattleOfWinterfell # got⁠ ⁠ # GameOfThrones⁠ ⁠ # GoTS8⁠ ⁠ # SundayThoughts # BranStark⁠ ⁠ # JaimeLannister⁠ ⁠ # aegontargaryen⁠ ⁠ # DaenerysTargaryen⁠ ⁠ # gots8e3 # JonSnow⁠ ⁠ # SansaStark⁠ ⁠ # TyrionLannister⁠ ⁠pic.twitter.com/TwkK8UeqjL,Neu,0.0,0.0,no theon battleforwinterfell battleofwinterfell got gameofthrones gots8 sundaythoughts branstark jaimelannister aegontargaryen daenerystargaryen gots8e3 jonsnow sansastark tyrionlannister pic twitter com twkk8ueqjl
# Jon going after the # NightKing got me like # BattleForWinterfell # BattleOfWinterfell # got # GameOfThrones # GoTS8 # SundayThoughts # BranStark # JaimeLannister # aegontargaryen # DaenerysTargaryen # gots8e3 # JonSnow # SansaStark # TyrionLannisterpic.twitter.com/uYLRqdko5m,Neu,0.0,0.0,jon going after the nightking got me like battleforwinterfell battleofwinterfell got gameofthrones gots8 sundaythoughts branstark jaimelannister aegontargaryen daenerystargaryen gots8e3 jonsnow sansastark tyrionlannisterpic twitter com uylrqdko5m
# RIP Leanna! # BattleForWinterfell # BattleOfWinterfell # got # GameOfThrones # GoTS8 # SundayThoughts # BranStark # JaimeLannister # aegontargaryen # DaenerysTargaryen # gots8e3 # JonSnow # SansaStark # TyrionLannister,Neu,0.0,0.0,rip leanna battleforwinterfell battleofwinterfell got gameofthrones gots8 sundaythoughts branstark jaimelannister aegontargaryen daenerystargaryen gots8e3 jonsnow sansastark tyrionlannister
WTF - a bridge?! # BattleForWinterfell # BattleOfWinterfell # got # GameOfThrones # GoTS8 # SundayThoughts # BranStark # JaimeLannister # aegontargaryen # DaenerysTargaryen # gots8e3 # JonSnow # SansaStark # TyrionLannisterpic.twitter.com/vMjxxwxT7i,Neg,-0.625,1.0,wtf bridge battleforwinterfell battleofwinterfell got gameofthrones gots8 sundaythoughts branstark jaimelannister aegontargaryen daenerystargaryen gots8e3 jonsnow sansastark tyrionlannisterpic twitter com vmjxxwxt7i
Blow em up # MELISANDRE !! # BattleForWinterfell # BattleOfWinterfell # got # GameOfThrones # GoTS8 # SundayThoughts # BranStark # JaimeLannister # aegontargaryen # DaenerysTargaryen # gots8e3 # JonSnow # SansaStark # TyrionLannister,Neu,0.0,0.0,blow em up melisandre battleforwinterfell battleofwinterfell got gameofthrones gots8 sundaythoughts branstark jaimelannister aegontargaryen daenerystargaryen gots8e3 jonsnow sansastark tyrionlannister
Wth is happening # BattleForWinterfell # BattleOfWinterfell # got # GameOfThrones # GoTS8 # SundayThoughts # BranStark # JaimeLannister # aegontargaryen # DaenerysTargaryen # gots8e3 # JonSnow # SansaStark # TyrionLannisterpic.twitter.com/Fs4nRKaNZe,Neu,0.0,0.0,wth is happening battleforwinterfell battleofwinterfell got gameofthrones gots8 sundaythoughts branstark jaimelannister aegontargaryen daenerystargaryen gots8e3 jonsnow sansastark tyrionlannisterpic twitter com fs4nrkanze
